CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX332882,7/5/2014,ROBBERY,ARMED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),N,N,1433,Y
HX332879,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2024,Y
HX333350,7/5/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1623,Y
HX332897,7/5/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1432,Y
HX332904,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,N,N,2222,Y
HX332877,7/5/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,1913,N
HX332870,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1731,Y
HX405631,7/5/2014,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,N,N,814,Y
HX334681,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,925,Y
HX332921,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,835,N
HX332869,7/5/2014,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,Y,N,1924,N
HX332906,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1914,Y
HX332922,7/5/2014,THEFT,RETAIL THEFT,GAS STATION,Y,N,1022,N
HX334752,7/5/2014,BATTERY,SIMPLE,STREET,N,N,726,Y
HX336773,7/5/2014,THEFT,FROM BUILDING,APARTMENT,N,N,1533,Y
HX332923,7/5/2014,BURGLARY,HOME INVASION,RESIDENCE,N,N,612,Y
HX333258,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1512,Y
HX333223,7/5/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2535,Y
HX332986,7/5/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,413,Y
HX332932,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,N,423,N
HX332939,7/5/2014,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,N,N,221,Y
HX333292,7/5/2014,THEFT,OVER $500,STREET,N,N,2411,Y
HX333413,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,811,Y
HX333381,7/5/2014,THEFT,$500 AND UNDER,OTHER,N,N,1834,Y
HX333313,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1421,Y
HX333652,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1135,Y
HX333575,7/5/2014,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,N,N,934,Y
HX332884,7/5/2014,THEFT,OVER $500,STREET,N,N,1024,Y
HX337165,7/5/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENTIAL YARD (FRONT/BACK),N,N,1033,Y
HX332883,7/5/2014,BATTERY,SIMPLE,STREET,N,N,112,Y
HX333611,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,912,Y
HX333978,7/5/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,2533,Y
HX332899,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,1013,N
HX332920,7/5/2014,BATTERY,SIMPLE,STREET,N,N,1132,Y
HX333602,7/5/2014,ASSAULT,SIMPLE,RESTAURANT,N,Y,531,Y
HX332887,7/5/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,731,Y
HX332881,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1131,N
HX332895,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,913,Y
HX332933,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,1924,N
HX332902,7/5/2014,SEX OFFENSE,PUBLIC INDECENCY,VACANT LOT/LAND,Y,N,1115,N
HX332896,7/5/2014,OTHER OFFENSE,LICENSE VIOLATION,RESTAURANT,N,N,1112,Y
HX332900,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113,N
HX332901,7/5/2014,ROBBERY,AGGRAVATED,SIDEWALK,N,N,932,Y
HX332913,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,Y,Y,924,N
HX332963,7/5/2014,PUBLIC PEACE VIOLATION,MOB ACTION,SIDEWALK,Y,N,814,N
HX333968,7/5/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1832,Y
HX334239,7/5/2014,THEFT,POCKET-PICKING,MOVIE HOUSE/THEATER,N,N,1431,Y
HX333261,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1512,Y
HX333367,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),N,N,1812,Y
HX332952,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,631,Y
HX332973,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,222,Y
HX337437,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,532,Y
HX332965,7/5/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,833,Y
HX332925,7/5/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,2525,Y
HX332942,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1431,N
HX332926,7/5/2014,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,Y,N,423,N
HX333009,7/5/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,322,Y
HX332999,7/5/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,411,N
HX332971,7/5/2014,BATTERY,SIMPLE,SPORTS ARENA/STADIUM,Y,N,132,N
HX335174,7/5/2014,THEFT,OVER $500,STREET,N,N,1433,Y
HX333215,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1234,Y
HX332935,7/5/2014,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,1622,Y
HX332991,7/5/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,Y,N,2412,N
HX332941,7/5/2014,ROBBERY,AGGRAVATED,STREET,N,N,932,Y
HX333015,7/5/2014,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,Y,N,1133,N
HX332959,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1822,Y
HX333205,7/5/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1213,Y
HX333372,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,921,Y
HX333764,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,612,Y
HX333071,7/5/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,1134,Y
HX334983,7/5/2014,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,1434,Y
HX333212,7/5/2014,BURGLARY,FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),N,N,131,Y
HX332979,7/5/2014,THEFT,$500 AND UNDER,APARTMENT,N,Y,813,Y
HX333532,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,114,Y
HX333349,7/5/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,334,Y
HX343211,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1014,Y
HX332936,7/5/2014,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,N,N,1924,Y
HX332948,7/5/2014,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,SIDEWALK,Y,N,1723,N
HX332977,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,Y,1123,Y
HX332949,7/5/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,N,N,2515,Y
HX333348,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,221,Y
HX332931,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Y,N,1113,N
HX332983,7/5/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1431,Y
HX332974,7/5/2014,NARCOTICS,POSS: PCP,VACANT LOT/LAND,Y,N,1132,N
HX332947,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1222,Y
HX332937,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Y,N,1113,N
HX332945,7/5/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,Y,N,1532,N
HX332966,7/5/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1214,Y
HX332976,7/5/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,714,Y
HX332985,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,Y,N,1412,N
HX334802,7/5/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,APARTMENT,N,N,1022,Y
HX333542,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,234,Y
HX333324,7/5/2014,THEFT,OVER $500,STREET,N,N,1224,Y
HX332995,7/5/2014,BATTERY,SIMPLE,PARK PROPERTY,N,N,1612,Y
HX337775,7/5/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1215,Y
HX332946,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113,N
HX332975,7/5/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,432,N
HX333399,7/5/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,613,Y
HX333466,7/5/2014,THEFT,$500 AND UNDER,PARK PROPERTY,N,N,331,Y
HX333916,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,835,Y
HX332955,7/5/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,632,N
HX333008,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1913,N
HX333406,7/5/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1111,Y
HX335590,7/5/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,N,N,1622,Y
HX333119,7/5/2014,THEFT,OVER $500,STREET,N,N,1214,Y
HX332987,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2033,N
HX333007,7/5/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,2023,N
HX332989,7/5/2014,THEFT,OVER $500,STREET,N,N,1223,Y
HX332997,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),Y,Y,2532,N
HX333082,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1811,Y
HX334751,7/6/2014,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,STREET,N,N,1022,Y
HX451131,7/6/2014,THEFT,FROM BUILDING,OTHER,N,N,2412,Y
HX333583,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1215,Y
HX333426,7/6/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,N,N,1622,Y
HX333351,7/6/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,522,Y
HX337896,7/6/2014,THEFT,$500 AND UNDER,,N,N,1233,Y
HX333132,7/6/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1235,Y
HX336716,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,2521,Y
HX332994,7/6/2014,BATTERY,SIMPLE,APARTMENT,N,N,1123,Y
HX350766,7/6/2014,CRIM SEXUAL ASSAULT,PREDATORY,"SCHOOL, PUBLIC, BUILDING",N,N,622,Y
HX335785,7/6/2014,THEFT,OVER $500,STREET,N,N,434,Y
HX334723,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,N,Y,915,Y
HX333092,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1631,Y
HX333272,7/6/2014,THEFT,POCKET-PICKING,CTA TRAIN,N,N,113,Y
HX333056,7/6/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE PORCH/HALLWAY,Y,Y,612,N
HX333595,7/6/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1831,Y
HX332990,7/6/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,2233,Y
HX333022,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1511,Y
HX333035,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,414,Y
HX333116,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,333,Y
HX333014,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,324,Y
HX333290,7/6/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,532,Y
HX333649,7/6/2014,ASSAULT,SIMPLE,STREET,N,N,724,Y
HX333011,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,1633,N
HX333031,7/6/2014,ASSAULT,SIMPLE,SIDEWALK,Y,N,624,N
HX333017,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1135,Y
HX333088,7/6/2014,ASSAULT,SIMPLE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,N,N,1654,Y
HX333038,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,N,N,1524,Y
HX333027,7/6/2014,NARCOTICS,POSS: SYNTHETIC DRUGS,ALLEY,Y,N,1114,N
HX333064,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,331,Y
HX333074,7/6/2014,BATTERY,SIMPLE,STREET,Y,N,1421,N
HX333296,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1225,Y
HX333045,7/6/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,824,Y
HX333070,7/6/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,433,Y
HX333073,7/6/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,1923,Y
HX333772,7/6/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,Y,923,Y
HX333032,7/6/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1012,Y
HX333055,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,N,N,1532,Y
HX333024,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1923,Y
HX333034,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1433,Y
HX333165,7/6/2014,BATTERY,SIMPLE,APARTMENT,N,N,1125,Y
HX330587,7/6/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,Y,N,726,N
HX333042,7/6/2014,ASSAULT,SIMPLE,APARTMENT,N,N,1533,Y
HX333044,7/6/2014,BATTERY,SIMPLE,STREET,Y,N,1125,N
HX333135,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,215,N
HX333053,7/6/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,932,N
HX333112,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,N,1122,Y
HX336506,7/6/2014,THEFT,OVER $500,STREET,N,N,434,Y
HX333478,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,1033,Y
HX333867,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,922,Y
HX334064,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1125,Y
HX333807,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,221,Y
HX333584,7/6/2014,THEFT,OVER $500,SIDEWALK,N,N,1924,Y
HX333356,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,1934,Y
HX333298,7/6/2014,THEFT,OVER $500,RESIDENCE,N,N,2013,Y
HX333081,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1122,Y
HX333046,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1513,N
HX333161,7/6/2014,THEFT,OVER $500,STREET,N,N,1214,Y
HX333270,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,321,Y
HX333050,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,921,Y
HX333060,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,922,N
HX337049,7/6/2014,THEFT,OVER $500,RESIDENCE,N,N,212,Y
